weight_tons,distance_km,transport_mode,carbon_emissions_kg
39.9,1013.3,Rail,853.62
32.0,2408.9,Rail,1716.73
8.5,2376.0,Air,25010.62
43.6,2193.7,Sea,1546.14
4.2,1359.8,Rail,129.71
28.7,955.4,Air,34480.51
43.8,579.0,Truck,2650.68
5.8,522.3,Rail,68.24
43.2,2751.4,Rail,2585.09
37.3,1981.5,Sea,1205.87
12.6,1057.2,Rail,293.72
14.5,537.9,Rail,169.22
21.0,2806.9,Truck,5897.42
18.8,1915.0,Sea,599.33
8.3,2275.3,Rail,423.95
18.0,1695.7,Truck,3069.18
15.2,1241.9,Air,23005.7
17.1,2582.7,Truck,4594.12
19.1,2734.7,Air,62638.3
44.1,2436.3,Truck,11140.09
39.1,260.2,Air,13352.62
47.4,2910.3,Air,180200.05
1.5,740.9,Sea,17.65
44.3,1680.9,Truck,8172.06
24.4,2583.5,Air,80289.08
7.4,2175.8,Air,19290.28
40.5,1301.8,Sea,832.82
42.7,822.3,Air,42660.47
7.9,2153.4,Truck,1834.93
48.8,394.8,Rail,421.2
23.9,2591.3,Sea,1022.58
48.1,2369.9,Air,142588.69
7.4,131.0,Rail,21.48
42.7,1774.4,Sea,1260.33
31.0,1537.0,Truck,4943.28
26.6,655.7,Truck,1867.42
23.1,2761.2,Truck,6811.57
48.0,1312.5,Air,77653.01
40.1,2463.9,Air,126241.53
11.1,2958.2,Rail,695.95
9.9,1376.8,Sea,209.66
38.3,186.0,Air,8618.71
17.4,1654.7,Rail,626.03
21.9,845.9,Rail,414.18
43.1,650.6,Air,34296.39
46.9,1680.1,Air,94126.93
11.8,1365.6,Air,19571.57
3.0,2535.3,Air,9540.76
48.9,2207.7,Air,134481.7
35.9,443.5,Air,19412.37
19.6,1503.7,Rail,663.35
26.7,2956.0,Rail,1668.66
43.4,1035.0,Sea,689.24
49.0,315.2,Rail,339.6
15.9,230.9,Truck,380.92
25.4,311.8,Truck,858.82
27.2,1034.2,Truck,2907.43
21.5,1364.0,Air,35340.47
39.8,2948.5,Rail,2572.06
43.4,1646.4,Rail,1624.04
18.3,1609.5,Air,38295.17
35.1,2946.7,Sea,1627.82
17.6,1760.8,Rail,688.11
4.3,1092.8,Truck,514.91
